Id,Label,mergenode,businesstable
ARCHES_RECORD.E31:46,UPDATE_EVENT.E65,UPDATE_EVENT.E65,
ARCHES_RECORD.E31:47,DATE_OF_LAST_UPDATE.E50,DATE_OF_LAST_UPDATE.E50,dates
ARCHES_RECORD.E31:48,REFERENCE_NUMBER_(INTERNAL).E42,REFERENCE_NUMBER_(INTERNAL).E42,strings
ARCHES_RECORD.E31:49,CREATION_EVENT.E65,CREATION_EVENT.E65,
ARCHES_RECORD.E31:50,DATE_OF_COMPILATION.E50,DATE_OF_COMPILATION.E50,dates
ARCHES_RECORD.E31:51,COMPILER_PERSON.E21,COMPILER_PERSON.E21,
ARCHES_RECORD.E31:52,TIME-SPAN_CREATION_EVENT.E52,TIME-SPAN_CREATION_EVENT.E52,
ARCHES_RECORD.E31:53,TIME-SPAN_UPDATE_EVENT.E52,TIME-SPAN_UPDATE_EVENT.E52,
ARCHES_RECORD.E31:54,COMPILER.E82,COMPILER.E82,strings
ARCHES_RECORD.E31:55,ARCHES_RECORD.E31,ARCHES_RECORD.E31,
